Measure,Mode,Year,Value
Freight revenue per ton-mile (current cents),"Water transportation, domestic",2012,3.175689549
Freight revenue per ton-mile (current cents),"Water transportation, domestic",2011,2.840062095
Freight revenue per ton-mile (current cents),"Water transportation, domestic",2010,2.614715595
Freight revenue per ton-mile (current cents),"Water transportation, domestic",2009,2.665949937
Freight revenue per ton-mile (current cents),"Water transportation, domestic",2008,
Freight revenue per ton-mile (current cents),"Water transportation, domestic",2007,
Freight revenue per ton-mile (current cents),"Water transportation, domestic",2006,
Freight revenue per ton-mile (current cents),"Water transportation, domestic",2005,
Freight revenue per ton-mile (current cents),"Water transportation, domestic",2004,1.83
Freight revenue per ton-mile (current cents),"Water transportation, domestic",2003,1.77
Freight revenue per ton-mile (current cents),"Water transportation, domestic",2002,1.71
Freight revenue per ton-mile (current cents),"Water transportation, domestic",2001,1.75
Freight revenue per ton-mile (current cents),"Water transportation, domestic",2000,1.67
Freight revenue per ton-mile (current cents),Oil pipeline,2021,
Freight revenue per ton-mile (current cents),Oil pipeline,2020,3.44
Freight revenue per ton-mile (current cents),Oil pipeline,2019,3.41
Freight revenue per ton-mile (current cents),Oil pipeline,2018,2.964755874
Freight revenue per ton-mile (current cents),Oil pipeline,2017,2.845197177
Freight revenue per ton-mile (current cents),Oil pipeline,2016,2.655995321
Freight revenue per ton-mile (current cents),Oil pipeline,2015,2.494818095
Freight revenue per ton-mile (current cents),Oil pipeline,2014,2.256071574
Freight revenue per ton-mile (current cents),Oil pipeline,2013,1.921487106
Freight revenue per ton-mile (current cents),Oil pipeline,2012,1.634671897
Freight revenue per ton-mile (current cents),Oil pipeline,2011,
Freight revenue per ton-mile (current cents),Oil pipeline,2010,
Freight revenue per ton-mile (current cents),Oil pipeline,2009,1.757001935
Freight revenue per ton-mile (current cents),Oil pipeline,2008,1.526114743
Freight revenue per ton-mile (current cents),Oil pipeline,2007,1.613112605
Freight revenue per ton-mile (current cents),Oil pipeline,2006,1.465089111
Freight revenue per ton-mile (current cents),Oil pipeline,2005,1.303238848
Freight revenue per ton-mile (current cents),Oil pipeline,2004,1.337483989
Freight revenue per ton-mile (current cents),Oil pipeline,2003,1.305319892
Freight revenue per ton-mile (current cents),Oil pipeline,2002,1.332642613
Freight revenue per ton-mile (current cents),Oil pipeline,2001,1.341776081
Freight revenue per ton-mile (current cents),Oil pipeline,2000,1.296223800
