location,date,total_cases_per_million,new_cases_per_million
United States,2020-09-10,,
United States,2020-09-11,,
United States,2020-09-12,,
United States,2020-09-13,19259.652,726.067
United States,2020-09-14,,
United States,2020-09-15,,
United States,2020-09-16,,
United States,2020-09-17,,
United States,2020-09-18,,
United States,2020-09-19,,
United States,2020-09-20,20090.233,830.581
United States,2020-09-21,,
United States,2020-09-22,,
United States,2020-09-23,,
United States,2020-09-24,,
United States,2020-09-25,,
United States,2020-09-26,,
United States,2020-09-27,20991.159,900.926
United States,2020-09-28,,
United States,2020-09-29,,
United States,2020-09-30,,
United States,2020-10-01,,
United States,2020-10-02,,
United States,2020-10-03,,
United States,2020-10-04,21873.089,881.93
United States,2020-10-05,,
United States,2020-10-06,,
United States,2020-10-07,,
United States,2020-10-08,,
United States,2020-10-09,,
United States,2020-10-10,,
United States,2020-10-11,22861.144,988.055
United States,2020-10-12,,
United States,2020-10-13,,
United States,2020-10-14,,
United States,2020-10-15,,
United States,2020-10-16,,
United States,2020-10-17,,
United States,2020-10-18,24007.007,1145.864
United States,2020-10-19,,
United States,2020-10-20,,
United States,2020-10-21,,
United States,2020-10-22,,
United States,2020-10-23,,
United States,2020-10-24,,
United States,2020-10-25,25335.566,1328.559
United States,2020-10-26,,
United States,2020-10-27,,
United States,2020-10-28,,
United States,2020-10-29,,
United States,2020-10-30,,
United States,2020-10-31,,
United States,2020-11-01,26989.16,1653.594
United States,2020-11-02,,
United States,2020-11-03,,
United States,2020-11-04,,
United States,2020-11-05,,
United States,2020-11-06,,
United States,2020-11-07,,
United States,2020-11-08,29324.713,2335.553
United States,2020-11-09,,
United States,2020-11-10,,
United States,2020-11-11,,
United States,2020-11-12,,
United States,2020-11-13,,
United States,2020-11-14,,
United States,2020-11-15,32295.08,2970.367
United States,2020-11-16,,
United States,2020-11-17,,
United States,2020-11-18,,
United States,2020-11-19,,
United States,2020-11-20,,
United States,2020-11-21,,
United States,2020-11-22,35769.861,3474.781
United States,2020-11-23,,
United States,2020-11-24,,
United States,2020-11-25,,
United States,2020-11-26,,
United States,2020-11-27,,
United States,2020-11-28,,
United States,2020-11-29,39205.97,3436.11
United States,2020-11-30,,
United States,2020-12-01,,
United States,2020-12-02,,
United States,2020-12-03,,
United States,2020-12-04,,
United States,2020-12-05,,
United States,2020-12-06,42992.463,3786.492
United States,2020-12-07,,
United States,2020-12-08,,
United States,2020-12-09,,
United States,2020-12-10,,
United States,2020-12-11,,
United States,2020-12-12,,
United States,2020-12-13,47333.361,4340.899
United States,2020-12-14,,
United States,2020-12-15,,
United States,2020-12-16,,
United States,2020-12-17,,
United States,2020-12-18,,
United States,2020-12-19,,
United States,2020-12-20,51820.425,4487.063
United States,2020-12-21,,
United States,2020-12-22,,
United States,2020-12-23,,
United States,2020-12-24,,
United States,2020-12-25,,
United States,2020-12-26,,
United States,2020-12-27,55841.006,4020.582
United States,2020-12-28,,
United States,2020-12-29,,
United States,2020-12-30,,
United States,2020-12-31,,
United States,2021-01-01,,
United States,2021-01-02,,
United States,2021-01-03,59923.29,4082.283
United States,2021-01-04,,
United States,2021-01-05,,
United States,2021-01-06,,
United States,2021-01-07,,
United States,2021-01-08,,
United States,2021-01-09,,
United States,2021-01-10,64851.463,4928.173
United States,2021-01-11,,
United States,2021-01-12,,
United States,2021-01-13,,
United States,2021-01-14,,
United States,2021-01-15,,
United States,2021-01-16,,
United States,2021-01-17,69551.441,4699.978
United States,2021-01-18,,
United States,2021-01-19,,
United States,2021-01-20,,
United States,2021-01-21,,
United States,2021-01-22,,
United States,2021-01-23,,
United States,2021-01-24,73293.383,3741.942
United States,2021-01-25,,
United States,2021-01-26,,
United States,2021-01-27,,
United States,2021-01-28,,
United States,2021-01-29,,
United States,2021-01-30,,
United States,2021-01-31,76452.287,3158.903
United States,2021-02-01,,
United States,2021-02-02,,
United States,2021-02-03,,
United States,2021-02-04,,
United States,2021-02-05,,
United States,2021-02-06,,
United States,2021-02-07,78986.356,2534.069
United States,2021-02-08,,
United States,2021-02-09,,
United States,2021-02-10,,
United States,2021-02-11,,
United States,2021-02-12,,
United States,2021-02-13,,
United States,2021-02-14,80968.597,1982.241
United States,2021-02-15,,
United States,2021-02-16,,
United States,2021-02-17,,
United States,2021-02-18,,
United States,2021-02-19,,
United States,2021-02-20,,
United States,2021-02-21,82368.24,1399.643
United States,2021-02-22,,
United States,2021-02-23,,
United States,2021-02-24,,
United States,2021-02-25,,
United States,2021-02-26,,
United States,2021-02-27,,
United States,2021-02-28,83745.021,1376.781
United States,2021-03-01,,
United States,2021-03-02,,
United States,2021-03-03,,
United States,2021-03-04,,
United States,2021-03-05,,
United States,2021-03-06,,
United States,2021-03-07,84988.744,1243.723
United States,2021-03-08,,
United States,2021-03-09,,
United States,2021-03-10,,
United States,2021-03-11,,
United States,2021-03-12,,
United States,2021-03-13,,
United States,2021-03-14,86123.865,1135.121
United States,2021-03-15,,
United States,2021-03-16,,
United States,2021-03-17,,
United States,2021-03-18,,
United States,2021-03-19,,
United States,2021-03-20,,
United States,2021-03-21,87245.835,1121.97
United States,2021-03-22,,
United States,2021-03-23,,
United States,2021-03-24,,
United States,2021-03-25,,
United States,2021-03-26,,
United States,2021-03-27,,
United States,2021-03-28,88480.924,1235.089
United States,2021-03-29,,
United States,2021-03-30,,
United States,2021-03-31,,
United States,2021-04-01,,
United States,2021-04-02,,
United States,2021-04-03,,
United States,2021-04-04,89811.026,1330.102
United States,2021-04-05,,
United States,2021-04-06,,
United States,2021-04-07,,
United States,2021-04-08,,
United States,2021-04-09,,
United States,2021-04-10,,
United States,2021-04-11,91158.835,1347.809
United States,2021-04-12,,
United States,2021-04-13,,
United States,2021-04-14,,
United States,2021-04-15,,
United States,2021-04-16,,
United States,2021-04-17,,
United States,2021-04-18,92539.949,1381.114
United States,2021-04-19,,
United States,2021-04-20,,
United States,2021-04-21,,
United States,2021-04-22,,
United States,2021-04-23,,
United States,2021-04-24,,
United States,2021-04-25,93740.384,1200.435
United States,2021-04-26,,
United States,2021-04-27,,
United States,2021-04-28,,
United States,2021-04-29,,
United States,2021-04-30,,
United States,2021-05-01,,
United States,2021-05-02,94740.73,1000.346
United States,2021-05-03,,
United States,2021-05-04,,
United States,2021-05-05,,
United States,2021-05-06,,
United States,2021-05-07,,
United States,2021-05-08,,
United States,2021-05-09,95604.853,864.123
United States,2021-05-10,,
United States,2021-05-11,,
United States,2021-05-12,,
United States,2021-05-13,,
United States,2021-05-14,,
United States,2021-05-15,,
United States,2021-05-16,96294.646,689.793
United States,2021-05-17,,
United States,2021-05-18,,
United States,2021-05-19,,
United States,2021-05-20,,
United States,2021-05-21,,
United States,2021-05-22,,
United States,2021-05-23,96831.491,536.844
United States,2021-05-24,,
United States,2021-05-25,,
United States,2021-05-26,,
United States,2021-05-27,,
United States,2021-05-28,,
United States,2021-05-29,,
United States,2021-05-30,97268.427,436.936
United States,2021-05-31,,
United States,2021-06-01,,
United States,2021-06-02,,
United States,2021-06-03,,
United States,2021-06-04,,
United States,2021-06-05,,
United States,2021-06-06,97561.406,292.98
United States,2021-06-07,,
United States,2021-06-08,,
United States,2021-06-09,,
United States,2021-06-10,,
United States,2021-06-11,,
United States,2021-06-12,,
United States,2021-06-13,97855.725,294.319
United States,2021-06-14,,
United States,2021-06-15,,
United States,2021-06-16,,
United States,2021-06-17,,
United States,2021-06-18,,
United States,2021-06-19,,
United States,2021-06-20,98094.062,238.337
United States,2021-06-21,,
United States,2021-06-22,,
United States,2021-06-23,,
United States,2021-06-24,,
United States,2021-06-25,,
United States,2021-06-26,,
United States,2021-06-27,98353.121,259.059
United States,2021-06-28,,
United States,2021-06-29,,
United States,2021-06-30,,
United States,2021-07-01,,
United States,2021-07-02,,
United States,2021-07-03,,
United States,2021-07-04,98639.966,286.846
United States,2021-07-05,,
United States,2021-07-06,,
United States,2021-07-07,,
United States,2021-07-08,,
United States,2021-07-09,,
United States,2021-07-10,,
United States,2021-07-11,99486.903,846.936
United States,2021-07-12,,
United States,2021-07-13,,
United States,2021-07-14,,
United States,2021-07-15,,
United States,2021-07-16,,
United States,2021-07-17,,
United States,2021-07-18,100144.856,657.954
United States,2021-07-19,,
United States,2021-07-20,,
United States,2021-07-21,,
United States,2021-07-22,,
United States,2021-07-23,,
United States,2021-07-24,,
United States,2021-07-25,101206.156,1061.3
United States,2021-07-26,,
United States,2021-07-27,,
United States,2021-07-28,,
United States,2021-07-29,,
United States,2021-07-30,,
United States,2021-07-31,,
United States,2021-08-01,102823.367,1617.211
United States,2021-08-02,,
United States,2021-08-03,,
United States,2021-08-04,,
United States,2021-08-05,,
United States,2021-08-06,,
United States,2021-08-07,,
United States,2021-08-08,105019.874,2196.507
United States,2021-08-09,,
United States,2021-08-10,,
United States,2021-08-11,,
United States,2021-08-12,,
United States,2021-08-13,,
United States,2021-08-14,,
United States,2021-08-15,107640.301,2620.427
United States,2021-08-16,,
United States,2021-08-17,,
United States,2021-08-18,,
United States,2021-08-19,,
United States,2021-08-20,,
United States,2021-08-21,,
United States,2021-08-22,110655.367,3015.065
United States,2021-08-23,,
United States,2021-08-24,,
United States,2021-08-25,,
United States,2021-08-26,,
United States,2021-08-27,,
United States,2021-08-28,,
United States,2021-08-29,113891.91,3236.544
United States,2021-08-30,,
United States,2021-08-31,,
United States,2021-09-01,,
United States,2021-09-02,,
United States,2021-09-03,,
United States,2021-09-04,,
United States,2021-09-05,117274.368,3382.457
United States,2021-09-06,,
United States,2021-09-07,,
United States,2021-09-08,,
United States,2021-09-09,,
United States,2021-09-10,,
United States,2021-09-11,,
United States,2021-09-12,120297.131,3022.763
United States,2021-09-13,,
United States,2021-09-14,,
United States,2021-09-15,,
United States,2021-09-16,,
United States,2021-09-17,,
United States,2021-09-18,,
United States,2021-09-19,123363.891,3066.761
United States,2021-09-20,,
United States,2021-09-21,,
United States,2021-09-22,,
United States,2021-09-23,,
United States,2021-09-24,,
United States,2021-09-25,,
United States,2021-09-26,125883.311,2519.419
United States,2021-09-27,,
United States,2021-09-28,,
United States,2021-09-29,,
United States,2021-09-30,,
United States,2021-10-01,,
United States,2021-10-02,,
United States,2021-10-03,128117.158,2233.848
United States,2021-10-04,,
United States,2021-10-05,,
United States,2021-10-06,,
United States,2021-10-07,,
United States,2021-10-08,,
United States,2021-10-09,,
United States,2021-10-10,130133.134,2015.975
United States,2021-10-11,,
United States,2021-10-12,,
United States,2021-10-13,,
United States,2021-10-14,,
United States,2021-10-15,,
United States,2021-10-16,,
United States,2021-10-17,131854.252,1721.119
United States,2021-10-18,,
United States,2021-10-19,,
United States,2021-10-20,,
United States,2021-10-21,,
United States,2021-10-22,,
United States,2021-10-23,,
United States,2021-10-24,133357.528,1503.276
United States,2021-10-25,,
United States,2021-10-26,,
United States,2021-10-27,,
United States,2021-10-28,,
United States,2021-10-29,,
United States,2021-10-30,,
United States,2021-10-31,134912.958,1555.429
United States,2021-11-01,,
United States,2021-11-02,,
United States,2021-11-03,,
United States,2021-11-04,,
United States,2021-11-05,,
United States,2021-11-06,,
United States,2021-11-07,136421.164,1508.207
United States,2021-11-08,,
United States,2021-11-09,,
United States,2021-11-10,,
United States,2021-11-11,,
United States,2021-11-12,,
United States,2021-11-13,,
United States,2021-11-14,138068.213,1647.049
United States,2021-11-15,,
United States,2021-11-16,,
United States,2021-11-17,,
United States,2021-11-18,,
United States,2021-11-19,,
United States,2021-11-20,,
United States,2021-11-21,140069.089,2000.876
United States,2021-11-22,,
United States,2021-11-23,,
United States,2021-11-24,,
United States,2021-11-25,,
United States,2021-11-26,,
United States,2021-11-27,,
United States,2021-11-28,141820.232,1751.143
United States,2021-11-29,,
United States,2021-11-30,,
United States,2021-12-01,,
United States,2021-12-02,,
United States,2021-12-03,,
United States,2021-12-04,,
United States,2021-12-05,144040.272,2220.04
United States,2021-12-06,,
United States,2021-12-07,,
United States,2021-12-08,,
United States,2021-12-09,,
United States,2021-12-10,,
United States,2021-12-11,,
United States,2021-12-12,146508.478,2468.206
United States,2021-12-13,,
United States,2021-12-14,,
United States,2021-12-15,,
United States,2021-12-16,,
United States,2021-12-17,,
United States,2021-12-18,,
United States,2021-12-19,149166.285,2657.807
United States,2021-12-20,,
United States,2021-12-21,,
United States,2021-12-22,,
United States,2021-12-23,,
United States,2021-12-24,,
United States,2021-12-25,,
United States,2021-12-26,153356.239,4189.954
United States,2021-12-27,,
United States,2021-12-28,,
United States,2021-12-29,,
United States,2021-12-30,,
United States,2021-12-31,,
United States,2022-01-01,,
United States,2022-01-02,161373.145,8016.906
United States,2022-01-03,,
United States,2022-01-04,,
United States,2022-01-05,,
United States,2022-01-06,,
United States,2022-01-07,,
United States,2022-01-08,,
United States,2022-01-09,175215.999,13842.854
United States,2022-01-10,,
United States,2022-01-11,,
United States,2022-01-12,,
United States,2022-01-13,,
United States,2022-01-14,,
United States,2022-01-15,,
United States,2022-01-16,191920.41,16704.412
United States,2022-01-17,,
United States,2022-01-18,,
United States,2022-01-19,,
United States,2022-01-20,,
United States,2022-01-21,,
United States,2022-01-22,,
United States,2022-01-23,206827.414,14907.003
United States,2022-01-24,,
United States,2022-01-25,,
United States,2022-01-26,,
United States,2022-01-27,,
United States,2022-01-28,,
United States,2022-01-29,,
United States,2022-01-30,218028.642,11201.229
United States,2022-01-31,,
United States,2022-02-01,,
United States,2022-02-02,,
United States,2022-02-03,,
United States,2022-02-04,,
United States,2022-02-05,,
United States,2022-02-06,224498.567,6469.925
United States,2022-02-07,,
United States,2022-02-08,,
United States,2022-02-09,,
United States,2022-02-10,,
United States,2022-02-11,,
United States,2022-02-12,,
United States,2022-02-13,228111.185,3612.618
United States,2022-02-14,,
United States,2022-02-15,,
United States,2022-02-16,,
United States,2022-02-17,,
United States,2022-02-18,,
United States,2022-02-19,,
United States,2022-02-20,230204.526,2093.341
United States,2022-02-21,,
United States,2022-02-22,,
United States,2022-02-23,,
United States,2022-02-24,,
United States,2022-02-25,,
United States,2022-02-26,,
United States,2022-02-27,231559.199,1354.673
United States,2022-02-28,,
United States,2022-03-01,,
United States,2022-03-02,,
United States,2022-03-03,,
United States,2022-03-04,,
United States,2022-03-05,,
United States,2022-03-06,232542.11,982.912
United States,2022-03-07,,
United States,2022-03-08,,
United States,2022-03-09,,
United States,2022-03-10,,
United States,2022-03-11,,
United States,2022-03-12,,
United States,2022-03-13,233234.806,692.696
United States,2022-03-14,,
United States,2022-03-15,,
United States,2022-03-16,,
United States,2022-03-17,,
United States,2022-03-18,,
United States,2022-03-19,,
United States,2022-03-20,233851.851,617.045
United States,2022-03-21,,
United States,2022-03-22,,
United States,2022-03-23,,
United States,2022-03-24,,
United States,2022-03-25,,
United States,2022-03-26,,
United States,2022-03-27,234423.754,571.903
United States,2022-03-28,,
United States,2022-03-29,,
United States,2022-03-30,,
United States,2022-03-31,,
United States,2022-04-01,,
United States,2022-04-02,,
United States,2022-04-03,234998.598,574.844
United States,2022-04-04,,
United States,2022-04-05,,
United States,2022-04-06,,
United States,2022-04-07,,
United States,2022-04-08,,
United States,2022-04-09,,
United States,2022-04-10,235593.331,594.733
United States,2022-04-11,,
United States,2022-04-12,,
United States,2022-04-13,,
United States,2022-04-14,,
United States,2022-04-15,,
United States,2022-04-16,,
United States,2022-04-17,236326.25,732.919
United States,2022-04-18,,
United States,2022-04-19,,
United States,2022-04-20,,
United States,2022-04-21,,
United States,2022-04-22,,
United States,2022-04-23,,
United States,2022-04-24,237215.195,888.945
United States,2022-04-25,,
United States,2022-04-26,,
United States,2022-04-27,,
United States,2022-04-28,,
United States,2022-04-29,,
United States,2022-04-30,,
United States,2022-05-01,238334.202,1119.008
United States,2022-05-02,,
United States,2022-05-03,,
United States,2022-05-04,,
United States,2022-05-05,,
United States,2022-05-06,,
United States,2022-05-07,,
United States,2022-05-08,239710.708,1376.506
United States,2022-05-09,,
United States,2022-05-10,,
United States,2022-05-11,,
United States,2022-05-12,,
United States,2022-05-13,,
United States,2022-05-14,,
United States,2022-05-15,241498.982,1788.274
United States,2022-05-16,,
United States,2022-05-17,,
United States,2022-05-18,,
United States,2022-05-19,,
United States,2022-05-20,,
United States,2022-05-21,,
United States,2022-05-22,243670.183,2171.2
United States,2022-05-23,,
United States,2022-05-24,,
United States,2022-05-25,,
United States,2022-05-26,,
United States,2022-05-27,,
United States,2022-05-28,,
United States,2022-05-29,245859.784,2189.602
United States,2022-05-30,,
United States,2022-05-31,,
United States,2022-06-01,,
United States,2022-06-02,,
United States,2022-06-03,,
United States,2022-06-04,,
United States,2022-06-05,247856.968,1997.184
United States,2022-06-06,,
United States,2022-06-07,,
United States,2022-06-08,,
United States,2022-06-09,,
United States,2022-06-10,,
United States,2022-06-11,,
United States,2022-06-12,250047.527,2190.559
United States,2022-06-13,,
United States,2022-06-14,,
United States,2022-06-15,,
United States,2022-06-16,,
United States,2022-06-17,,
United States,2022-06-18,,
United States,2022-06-19,252034.746,1987.219
United States,2022-06-20,,
United States,2022-06-21,,
United States,2022-06-22,,
United States,2022-06-23,,
United States,2022-06-24,,
United States,2022-06-25,,
United States,2022-06-26,254132.465,2097.719
United States,2022-06-27,,
United States,2022-06-28,,
United States,2022-06-29,,
United States,2022-06-30,,
United States,2022-07-01,,
United States,2022-07-02,,
United States,2022-07-03,256419.77,2287.305
United States,2022-07-04,,
United States,2022-07-05,,
United States,2022-07-06,,
United States,2022-07-07,,
United States,2022-07-08,,
United States,2022-07-09,,
United States,2022-07-10,258618.384,2198.615
United States,2022-07-11,,
United States,2022-07-12,,
United States,2022-07-13,,
United States,2022-07-14,,
United States,2022-07-15,,
United States,2022-07-16,,
United States,2022-07-17,261244.029,2625.645
United States,2022-07-18,,
United States,2022-07-19,,
United States,2022-07-20,,
United States,2022-07-21,,
United States,2022-07-22,,
United States,2022-07-23,,
United States,2022-07-24,263930.172,2686.143
United States,2022-07-25,,
United States,2022-07-26,,
United States,2022-07-27,,
United States,2022-07-28,,
United States,2022-07-29,,
United States,2022-07-30,,
United States,2022-07-31,266732.453,2802.28
United States,2022-08-01,,
United States,2022-08-02,,
United States,2022-08-03,,
United States,2022-08-04,,
United States,2022-08-05,,
United States,2022-08-06,,
United States,2022-08-07,269061.967,2329.514
United States,2022-08-08,,
United States,2022-08-09,,
United States,2022-08-10,,
United States,2022-08-11,,
United States,2022-08-12,,
United States,2022-08-13,,
United States,2022-08-14,271135.981,2074.014
United States,2022-08-15,,
United States,2022-08-16,,
United States,2022-08-17,,
United States,2022-08-18,,
United States,2022-08-19,,
United States,2022-08-20,,
United States,2022-08-21,273042.408,1906.427
United States,2022-08-22,,
United States,2022-08-23,,
United States,2022-08-24,,
United States,2022-08-25,,
United States,2022-08-26,,
United States,2022-08-27,,
United States,2022-08-28,274846.568,1804.16
United States,2022-08-29,,
United States,2022-08-30,,
United States,2022-08-31,,
United States,2022-09-01,,
United States,2022-09-02,,
United States,2022-09-03,,
United States,2022-09-04,276562.147,1715.579
United States,2022-09-05,,
United States,2022-09-06,,
United States,2022-09-07,,
United States,2022-09-08,,
United States,2022-09-09,,
United States,2022-09-10,,
United States,2022-09-11,277890.916,1328.769
United States,2022-09-12,,
United States,2022-09-13,,
United States,2022-09-14,,
United States,2022-09-15,,
United States,2022-09-16,,
United States,2022-09-17,,
United States,2022-09-18,279093.734,1202.818
United States,2022-09-19,,
United States,2022-09-20,,
United States,2022-09-21,,
United States,2022-09-22,,
United States,2022-09-23,,
United States,2022-09-24,,
United States,2022-09-25,280183.701,1089.968
United States,2022-09-26,,
United States,2022-09-27,,
United States,2022-09-28,,
United States,2022-09-29,,
United States,2022-09-30,,
United States,2022-10-01,,
United States,2022-10-02,281133.284,949.582
United States,2022-10-03,,
United States,2022-10-04,,
United States,2022-10-05,,
United States,2022-10-06,,
United States,2022-10-07,,
United States,2022-10-08,,
United States,2022-10-09,281962.702,829.419
United States,2022-10-10,,
United States,2022-10-11,,
United States,2022-10-12,,
United States,2022-10-13,,
United States,2022-10-14,,
United States,2022-10-15,,
United States,2022-10-16,282705.497,742.795
United States,2022-10-17,,
United States,2022-10-18,,
United States,2022-10-19,,
United States,2022-10-20,,
United States,2022-10-21,,
United States,2022-10-22,,
United States,2022-10-23,283544.228,838.73
United States,2022-10-24,,
United States,2022-10-25,,
United States,2022-10-26,,
United States,2022-10-27,,
United States,2022-10-28,,
United States,2022-10-29,,
United States,2022-10-30,284298.48,754.253
United States,2022-10-31,,
United States,2022-11-01,,
United States,2022-11-02,,
United States,2022-11-03,,
United States,2022-11-04,,
United States,2022-11-05,,
United States,2022-11-06,285088.643,790.163
United States,2022-11-07,,
United States,2022-11-08,,
United States,2022-11-09,,
United States,2022-11-10,,
United States,2022-11-11,,
United States,2022-11-12,,
United States,2022-11-13,285924.899,836.256
United States,2022-11-14,,
United States,2022-11-15,,
United States,2022-11-16,,
United States,2022-11-17,,
United States,2022-11-18,,
United States,2022-11-19,,
United States,2022-11-20,286737.764,812.865
United States,2022-11-21,,
United States,2022-11-22,,
United States,2022-11-23,,
United States,2022-11-24,,
United States,2022-11-25,,
United States,2022-11-26,,
United States,2022-11-27,287625.083,887.319
United States,2022-11-28,,
United States,2022-11-29,,
United States,2022-11-30,,
United States,2022-12-01,,
United States,2022-12-02,,
United States,2022-12-03,,
United States,2022-12-04,288519.579,894.496
United States,2022-12-05,,
United States,2022-12-06,,
United States,2022-12-07,,
United States,2022-12-08,,
United States,2022-12-09,,
United States,2022-12-10,,
United States,2022-12-11,289885.931,1366.352
United States,2022-12-12,,
United States,2022-12-13,,
United States,2022-12-14,,
United States,2022-12-15,,
United States,2022-12-16,,
United States,2022-12-17,,
United States,2022-12-18,291204.369,1318.437
United States,2022-12-19,,
United States,2022-12-20,,
United States,2022-12-21,,
United States,2022-12-22,,
United States,2022-12-23,,
United States,2022-12-24,,
United States,2022-12-25,292706.066,1501.697
United States,2022-12-26,,
United States,2022-12-27,,
United States,2022-12-28,,
United States,2022-12-29,,
United States,2022-12-30,,
United States,2022-12-31,,
United States,2023-01-01,293865.436,1159.37
United States,2023-01-02,,
United States,2023-01-03,,
United States,2023-01-04,,
United States,2023-01-05,,
United States,2023-01-06,,
United States,2023-01-07,,
United States,2023-01-08,295259.844,1394.408
United States,2023-01-09,,
United States,2023-01-10,,
United States,2023-01-11,,
United States,2023-01-12,,
United States,2023-01-13,,
United States,2023-01-14,,
United States,2023-01-15,296584.424,1324.58
United States,2023-01-16,,
United States,2023-01-17,,
United States,2023-01-18,,
United States,2023-01-19,,
United States,2023-01-20,,
